InterZone,All people,Area (hectares),simd_mode
S02001600,2797,674,4
S02001601,2658,99,4
S02001602,5272,111,1
S02001603,3593,69,2
S02001604,4120,85,2
S02001605,3168,46,1
S02001606,3274,83,4
S02001607,3004,414,4
S02001608,4895,85,2
S02001609,6240,228,5
S02001610,3474,109,2
S02001611,6070,70,5
S02001612,5608,104,5
S02001613,5277,37,5
S02001614,5144,31,5
S02001615,5575,126,5
S02001616,5018,127,5
S02001617,5758,38,5
S02001618,4468,23,5
S02001619,6462,54,3
S02001620,6233,63,3
S02001621,6556,91,5
S02001622,5651,125,3
S02001623,5915,281,2
S02001624,2507,46,3
S02001625,4072,64,4
S02001626,5407,208,5
S02001627,3161,488,1
S02001628,4330,74,1
S02001629,3654,85,1
S02001630,3270,247,3
S02001631,5136,118,5
S02001632,3926,94,3
S02001633,3881,147,5
S02001634,2549,55,5
S02001635,3512,43,1
S02001636,2855,119,5
S02001637,3476,41,2
S02001638,4420,52,1
S02001639,4698,46,4
S02001640,2837,327,3
S02001641,5065,47,1
S02001642,4929,42,2
S02001643,5025,47,1
S02001644,5260,54,2
S02001645,3423,31,3
S02001646,3185,15,2
S02001647,5164,61,5
S02001648,3243,30,2
S02001649,3414,41,2
S02001650,3701,62,5
S02001651,4461,95,5
S02001652,3687,178,5
S02001653,3726,53,4
S02001654,4210,38,5
S02001655,3031,30,4
S02001656,3569,51,5
S02001657,3212,26,5
S02001658,5686,62,5
S02001659,3614,72,5
S02001660,6021,148,5
S02001661,4305,143,4
S02001662,4215,150,5
S02001663,4227,126,5
S02001664,5674,214,5
S02001665,4618,82,2
S02001666,4623,62,1
S02001667,5104,83,5
S02001668,2912,35,1
S02001669,3364,93,1
S02001670,3788,219,2
S02001671,4814,77,1
S02001672,4288,297,5
S02001673,2492,112,5
S02001674,3770,161,5
S02001675,5971,135,3
S02001676,4106,69,3
S02001677,4887,121,5
S02001678,3130,109,5
S02001679,5372,224,5
S02001680,2762,46,3
S02001681,4146,82,3
S02001682,4767,351,4
S02001683,3264,2413,3
S02001684,5092,4093,3
S02001685,4754,183,4
S02001686,4012,145,5
S02001687,3161,40271,3
S02001688,2949,44379,3
S02001689,1916,48606,3
S02001690,2583,97607,2
S02001691,4066,48396,3
S02001692,3606,21426,3
S02001693,3276,653,2
S02001694,2997,326,3
S02001695,3130,4283,3
S02001696,3266,1523,3
S02001697,4163,2688,2
S02001698,4152,95,2
S02001699,3016,79,5
S02001700,3868,1382,4
S02001701,4931,134,2
S02001702,3415,1824,2
S02001703,5355,945,3
S02001704,3913,188,5
S02001705,3290,109,2
S02001706,3537,112,3
S02001707,3399,98,5
S02001708,2759,77,5
S02001709,2771,64,2
S02001710,3608,3711,2
S02001711,3653,112,1
S02001712,4268,129,4
S02001713,3391,105,1
S02001714,4761,401,2
S02001715,3575,144,3
S02001716,3483,129,3
S02001717,3029,81,1
S02001718,2857,75,1
S02001719,2736,94,2
S02001720,3751,1741,5
S02001721,3227,66,2
S02001722,2594,1442,4
S02001723,4753,6345,2
S02001724,2973,195,4
S02001725,4115,136,5
S02001726,4455,509,4
S02001727,4128,1485,5
S02001728,3361,126,2
S02001729,3256,95,2
S02001730,4920,219,2
S02001731,3298,71,3
S02001732,4443,143,1
S02001733,3901,98,2
S02001734,4470,1280,3
S02001735,3167,72,3
S02001736,3093,158,2
S02001737,4889,1251,3
S02001738,3001,2192,3
S02001739,4078,1497,1
S02001740,3178,7960,4
S02001741,3604,2222,1
S02001742,2909,923,5
S02001743,4079,1953,5
S02001744,3683,131,5
S02001745,3434,105,2
S02001746,4426,101,3
S02001747,3197,136,2
S02001748,3241,85,4
S02001749,3125,100,5
S02001750,5372,604,3
S02001751,3123,238,4
S02001752,2804,78,1
S02001753,3500,77,1
S02001754,2888,48,3
S02001755,3899,80,5
S02001756,2125,285,5
S02001757,3813,228,5
S02001758,2618,141,4
S02001759,3018,77,3
S02001760,3171,79,3
S02001761,3547,94,2
S02001762,3844,436,4
S02001763,3307,211,4
S02001764,3111,299,3
S02001765,2739,77,5
S02001766,4452,134,5
S02001767,2683,132,5
S02001768,3171,956,5
S02001769,3265,1027,2
S02001770,3107,113,1
S02001771,4396,2236,2
S02001772,2738,77,2
S02001773,3646,95,1
S02001774,2779,1076,1
S02001775,2960,67,1
S02001776,5931,3656,2
S02001777,4354,170,4
S02001778,3147,62,1
S02001779,3052,5529,5
S02001780,3693,834,3
S02001781,2690,76,3
S02001782,2826,108,4
S02001783,4470,1000,1
S02001784,3244,102,2
S02001785,3064,69,3
S02001786,2930,69,2
S02001787,2665,1057,5
S02001788,3199,93,3
S02001789,3007,61,2
S02001790,5027,91,1
S02001791,3349,82,5
S02001792,4863,355,5
S02001793,3721,160,1
S02001794,2963,134,4
S02001795,3854,243,1
S02001796,3564,146,1
S02001797,2891,2154,2
S02001798,3994,2651,3
S02001799,4184,2060,3
S02001800,4256,113,1
S02001801,2217,75,3
S02001802,4651,110,2
S02001803,3489,178,1
S02001804,3536,526,3
S02001805,5055,222,2
S02001806,2731,77,3
S02001807,3706,274,4
S02001808,2322,52,1
S02001809,2198,44,2
S02001810,2952,123,3
S02001811,4034,1734,3
S02001812,3419,1693,3
S02001813,4979,200,1
S02001814,4705,121,1
S02001815,2523,85,1
S02001816,3263,170,1
S02001817,3083,98,1
S02001818,3239,235,2
S02001819,2682,87,2
S02001820,2818,3768,3
S02001821,5472,4567,1
S02001822,4187,6710,3
S02001823,2494,3181,4
S02001824,4207,7603,4
S02001825,2899,5522,3
S02001826,3899,3437,4
S02001827,3355,82,2
S02001828,4015,189,5
S02001829,2850,8964,4
S02001830,2196,6307,3
S02001831,2843,858,3
S02001832,3831,1881,4
S02001833,2450,6060,3
S02001834,4008,94,3
S02001835,5188,103,5
S02001836,4169,1910,5
S02001837,5279,3340,5
S02001838,3453,1968,5
S02001839,3774,12122,4
S02001840,3815,132,3
S02001841,4243,143,5
S02001842,5033,101,1
S02001843,2813,358,1
S02001844,4741,124,3
S02001845,5836,197,1
S02001846,3387,84,1
S02001847,3022,74,1
S02001848,5467,216,5
S02001849,6145,198,1
S02001850,3512,68,2
S02001851,4271,57,1
S02001852,5315,120,2
S02001853,5309,89,1
S02001854,3519,56,3
S02001855,6268,328,1
S02001856,4899,162,1
S02001857,3303,100,1
S02001858,5240,213,2
S02001859,3061,92,1
S02001860,2948,81,1
S02001861,3742,57,2
S02001862,3669,149,2
S02001863,4744,103,1
S02001864,4968,54,3
S02001865,5429,31,1
S02001866,4081,54,1
S02001867,4990,114,4
S02001868,5617,57,3
S02001869,5929,361,4
S02001870,3573,32,4
S02001871,3293,19,3
S02001872,4086,46,5
S02001873,4487,384,1
S02001874,4634,70,1
S02001875,3144,68,2
S02001876,5387,120,5
S02001877,3435,82,3
S02001878,4951,86,5
